Raw Data

TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.22 Watt| I_tot= 1.60 A| Vb= 6.39 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.19 Watt| I_tot= 1.60 A| Vb= 6.38 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.90 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.80 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.80 C| PWR =10.22 Watt| I_tot= 1.60 A| Vb= 6.39 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.80 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.80 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.70 C| PWR =10.19 Watt| I_tot= 1.60 A| Vb= 6.38 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.70 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.70 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.70 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.70 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.80 C| TPL= 35.70 C| PWR =10.19 Watt| I_tot= 1.60 A| Vb= 6.38 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.60 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.60 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.60 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =9.91 Watt| I_tot= 1.58 A| Vb= 6.30 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =9.97 Watt| I_tot= 1.58 A| Vb= 6.31 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.50 C| PWR =10.03 Watt| I_tot= 1.59 A| Vb= 6.33 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.40 C| PWR =10.00 Watt| I_tot= 1.58 A| Vb= 6.32 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.40 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.40 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.40 C| PWR =10.06 Watt| I_tot= 1.59 A| Vb= 6.34 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.30 C| PWR =10.34 Watt| I_tot= 1.61 A| Vb= 6.43 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.30 C| PWR =10.37 Watt| I_tot= 1.61 A| Vb= 6.44 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.30 C| PWR =10.31 Watt| I_tot= 1.61 A| Vb= 6.42 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.20 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.20 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.20 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.10 C| PWR =10.09 Watt| I_tot= 1.59 A| Vb= 6.35 V
TC= 31.40 C| TP= 31.90 C| TPL= 35.10 C| PWR =10.12 Watt| I_tot= 1.59 A| Vb= 6.36 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.10 C| PWR =10.16 Watt| I_tot= 1.60 A| Vb= 6.37 V
TC= 31.50 C| TP= 31.90 C| TPL= 35.10 C| PWR =10.19 Watt| I_tot= 1.60 A| Vb= 6.38 V
